Advanced Calibration Data
,Temperature,date,m,b,Thermistor,A,B,C,KOhm,min,max
,,,1,0,4,0.0014035971835255623,0.00023726772633381188,9.962900548998732e-8,3,-20,60
,Pressure,date,m2,m1,m0,b2,b1,b0,LinearA,LinearB
,,24-Aug-2020 09:27:45,4.67599988951406e-7,0.00003301670221844688,1.010563850402832,0.00015278111095540226,-0.007007943466305733,-0.0350460559129715,-0.000008718800017959438,1.0026094913482666

Field Calibration Data
,Temperature,date,Slope,Offset,Unit
,,,1,0,0
,Pressure,date,Slope,Offset,Unit
,,,1,0,0

Sensor/File information
Sensor SN,0012202845,,Modbus Addr.,2
Sensor Type,LevelSCOUT,,Initialized w/fw Rev,v2.4
Sensor Name,Seametrics Smart Sensor
File Name,Test File #4

# Records,1441
Statistical Data,,Temperature (°C),Pressure (psi)
,Sensor Range,,300 psia
,Minimum,17.70,14.543
,Maximum,24.01,19.560
,Mean,19.45,16.432
,Variance,2.468,5.3631
,Std Deviation,1.571,2.3158

Rec #,Date / Time,Temperature (°C),Pressure (psi)
417,05-May-2021 16:11:00,17.74,19.539
418,05-May-2021 16:12:00,17.73,19.539
419,05-May-2021 16:13:00,17.72,19.539
420,05-May-2021 16:14:00,17.73,19.549
421,05-May-2021 16:15:00,17.74,19.549
422,05-May-2021 16:16:00,17.76,19.539
423,05-May-2021 16:17:00,17.77,19.549
424,05-May-2021 16:18:00,17.77,19.539
425,05-May-2021 16:19:00,17.76,19.549
426,05-May-2021 16:20:00,17.75,19.539
427,05-May-2021 16:21:00,17.74,19.539
428,05-May-2021 16:22:00,17.73,19.539
429,05-May-2021 16:23:00,17.71,19.539
430,05-May-2021 16:24:00,17.71,19.539
431,05-May-2021 16:25:00,17.72,19.549
432,05-May-2021 16:26:00,17.74,19.539
433,05-May-2021 16:27:00,17.76,19.539
434,05-May-2021 16:28:00,17.77,19.539
435,05-May-2021 16:29:00,17.79,19.539
436,05-May-2021 16:30:00,17.79,19.539
437,05-May-2021 16:31:00,17.79,19.549
438,05-May-2021 16:32:00,17.78,19.549
439,05-May-2021 16:33:00,17.78,19.539
440,05-May-2021 16:34:00,17.78,19.549
441,05-May-2021 16:35:00,17.78,19.539
442,05-May-2021 16:36:00,17.78,19.539
443,05-May-2021 16:37:00,17.77,19.539
444,05-May-2021 16:38:00,17.77,19.539
445,05-May-2021 16:39:00,17.76,19.539
446,05-May-2021 16:40:00,17.76,19.539
447,05-May-2021 16:41:00,17.75,19.539
448,05-May-2021 16:42:00,17.74,19.539
449,05-May-2021 16:43:00,17.74,19.539
450,05-May-2021 16:44:00,17.73,19.539
451,05-May-2021 16:45:00,17.73,19.539
452,05-May-2021 16:46:00,17.72,19.539
453,05-May-2021 16:47:00,17.72,19.539
454,05-May-2021 16:48:00,17.72,19.539
455,05-May-2021 16:49:00,17.72,19.539
456,05-May-2021 16:50:00,17.72,19.549
457,05-May-2021 16:51:00,17.72,19.549
458,05-May-2021 16:52:00,17.72,19.549
459,05-May-2021 16:53:00,17.73,19.549
460,05-May-2021 16:54:00,17.73,19.549
461,05-May-2021 16:55:00,17.73,19.549
462,05-May-2021 16:56:00,17.73,19.549
463,05-May-2021 16:57:00,17.74,19.549
464,05-May-2021 16:58:00,17.75,19.549
465,05-May-2021 16:59:00,17.75,19.549
466,05-May-2021 17:00:00,17.76,19.549
467,05-May-2021 17:01:00,17.78,19.549
468,05-May-2021 17:02:00,17.78,19.549
469,05-May-2021 17:03:00,17.78,19.549
470,05-May-2021 17:04:00,17.78,19.539
471,05-May-2021 17:05:00,17.78,19.549
472,05-May-2021 17:06:00,17.79,19.549
473,05-May-2021 17:07:00,17.80,19.549
474,05-May-2021 17:08:00,17.80,19.549
475,05-May-2021 17:09:00,17.79,19.549
476,05-May-2021 17:10:00,17.78,19.549
477,05-May-2021 17:11:00,17.77,19.549
478,05-May-2021 17:12:00,17.77,19.549
479,05-May-2021 17:13:00,17.78,19.549
480,05-May-2021 17:14:00,17.78,19.549
481,05-May-2021 17:15:00,17.78,19.549
482,05-May-2021 17:16:00,17.76,19.539
483,05-May-2021 17:17:00,17.76,19.539
484,05-May-2021 17:18:00,17.76,19.560
485,05-May-2021 17:19:00,17.77,19.549
486,05-May-2021 17:20:00,17.77,19.549
487,05-May-2021 17:21:00,17.77,19.549
488,05-May-2021 17:22:00,17.77,19.549
489,05-May-2021 17:23:00,17.77,19.549
490,05-May-2021 17:24:00,17.78,19.549
491,05-May-2021 17:25:00,17.80,19.549
492,05-May-2021 17:26:00,17.80,19.549
493,05-May-2021 17:27:00,17.80,19.549
